"gene_id","predicted_expr","gene_name","grp"
"ENSG00000134575.13_9",-0.0967704492545712,"ACP2","Healthy"
"ENSG00000144559.11_9",0.253821012103597,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.0443652513740461,"TMEM18","Healthy"
"ENSG00000165434.8_7",0.0440070056260116,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.323357845361279,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.0290234039782564,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",0.0451963996123983,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.0508371771188359,"SCIN","Healthy"
"ENSG00000058085.15_7",0.531375241895337,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.0587769764114683,"TRIOBP","Healthy"
"ENSG00000103855.18_8",0.0529035393013805,"CD276","Healthy"
"ENSG00000134575.13_9",-0.0377237910898864,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.0254943397362723,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.112431683130458,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.0586525713137664,"PGM2L1","Healthy"
"ENSG00000180871.8_9",0.099473685985404,"CXCR2","Healthy"
"ENSG00000183255.12_10",0.0359487613057214,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0666643321803869,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.303096609207966,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.0221249732448189,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.16478553243535,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.00162157843011226,"CD276","Healthy"
"ENSG00000134575.13_9",-0.0806222345950659,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.13349129447057,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.0605737927408875,"TMEM18","Healthy"
"ENSG00000165434.8_7",0.180854692182626,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.162069874588428,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.10045459460739,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0261984003789152,"CFLAR","Healthy"
"ENSG00000006747.15_7",0.0395054189851425,"SCIN","Healthy"
"ENSG00000058085.15_7",0.272345097610247,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.00826579208064302,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.00669738883783491,"CD276","Healthy"
"ENSG00000134575.13_9",-0.0390645495808,"ACP2","Healthy"
"ENSG00000144559.11_9",0.153059404733375,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.078463012756956,"TMEM18","Healthy"
"ENSG00000165434.8_7",0.0977774080853204,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.0943045310245386,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.0577297310581184,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",0.0523766806044152,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.322589559995581,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.116841221077022,"LAMC2","Healthy"
